ticker,company,sector,financial_year,revenue_cr,expenses_cr,operating_profit_cr,operating_margin_pct_reported,interest_cr,depreciation_cr,profit_before_tax_cr,tax_pct_reported,net_profit_cr,eps_rs,dividend_payout_pct,equity_capital_cr,reserves_cr,equity_cr,borrowings_cr,deposits_cr,other_liabilities_cr,total_liabilities_cr,fixed_assets_cr,cwip_cr,investments_cr,other_assets_cr,total_assets_cr,operating_cash_flow_cr,investing_cash_flow_cr,financing_cash_flow_cr,net_cash_flow_cr,free_cash_flow_cr
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2018,14281.0,11930.0,2351.0,16.0,79.0,1077.0,1350.0,32.0,947.0,11.41,35.0,83.0,12489.0,12572.0,5071.0,,4706.0,22349.0,6968.0,3470.0,2298.0,9612.0,22349.0,1803.0,-1483.0,-444.0,-124.0,713.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2019,15448.0,12270.0,3178.0,21.0,89.0,1135.0,2336.0,17.0,1950.0,23.49,17.0,83.0,13941.0,14024.0,3838.0,,4557.0,22418.0,7191.0,2934.0,2587.0,9707.0,22418.0,2870.0,-769.0,-2133.0,-31.0,2248.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2020,17517.0,15040.0,2477.0,14.0,98.0,1163.0,1886.0,-7.0,2026.0,24.38,21.0,83.0,15516.0,15599.0,2210.0,,5414.0,23223.0,6850.0,1535.0,2678.0,12160.0,23223.0,2984.0,-495.0,-2516.0,-27.0,2412.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2021,19048.0,15173.0,3874.0,20.0,97.0,1229.0,2884.0,32.0,1952.0,23.47,21.0,83.0,17558.0,17641.0,3031.0,,5915.0,26588.0,8206.0,1565.0,2212.0,14605.0,26588.0,3570.0,-2255.0,-30.0,1286.0,2323.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2022,21545.0,17778.0,3768.0,17.0,96.0,1165.0,3061.0,29.0,2182.0,26.23,23.0,83.0,19129.0,19212.0,3384.0,,7149.0,29746.0,8122.0,1293.0,2616.0,17715.0,29746.0,2811.0,-2565.0,-242.0,3.0,1238.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2023,24670.0,18200.0,6470.0,26.0,143.0,1250.0,6048.0,25.0,4507.0,54.14,15.0,83.0,23203.0,23286.0,1347.0,,7576.0,32209.0,9219.0,1030.0,4986.0,16974.0,32209.0,5888.0,-4109.0,-2686.0,-907.0,4009.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2024,28011.0,20078.0,7933.0,28.0,171.0,1470.0,7201.0,23.0,5578.0,66.87,12.0,83.0,28171.0,28254.0,2002.0,,8523.0,38780.0,10426.0,1419.0,4930.0,22004.0,38780.0,4543.0,-4034.0,-376.0,133.0,1908.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2025,32644.0,24097.0,8547.0,26.0,283.0,1704.0,7680.0,25.0,5725.0,67.77,12.0,83.0,33466.0,33549.0,4677.0,,9797.0,48023.0,18226.0,2466.0,4051.0,23280.0,48023.0,4643.0,-5785.0,1891.0,749.0,1327.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2026,33700.0,27247.0,6454.0,19.0,374.0,2059.0,5393.0,23.0,4158.0,50.27,16.0,84.0,37808.0,37892.0,7734.0,,12498.0,58123.0,22063.0,1460.0,5285.0,29315.0,58123.0,5674.0,-6549.0,829.0,-47.0,2004.0
EICHERMOT.NS,Eicher Motors,Automobile,2014,8738.0,7621.0,1118.0,13.0,10.0,220.0,993.0,29.0,702.0,22.71,22.0,27.0,2489.0,2516.0,58.0,,3829.0,6403.0,2309.0,419.0,1078.0,2597.0,6403.0,1047.0,-1214.0,-162.0,-329.0,79.0
EICHERMOT.NS,Eicher Motors,Automobile,2016,6173.0,4484.0,1690.0,27.0,2.0,137.0,1877.0,29.0,1338.0,49.27,20.0,27.0,3626.0,3653.0,23.0,,1263.0,4939.0,790.0,94.0,3388.0,667.0,4939.0,1463.0,-1001.0,-466.0,-4.0,954.0
EICHERMOT.NS,Eicher Motors,Automobile,2017,7033.0,4859.0,2174.0,31.0,4.0,154.0,2433.0,30.0,1667.0,61.27,16.0,27.0,5318.0,5345.0,112.0,,1552.0,7009.0,873.0,374.0,4987.0,775.0,7009.0,1708.0,-1744.0,25.0,-10.0,1161.0
EICHERMOT.NS,Eicher Motors,Automobile,2018,8965.0,6156.0,2809.0,31.0,5.0,223.0,3116.0,30.0,1960.0,71.89,15.0,27.0,7003.0,7030.0,151.0,,2341.0,9522.0,1502.0,333.0,5581.0,2106.0,9522.0,2482.0,-2145.0,-262.0,75.0,1736.0
EICHERMOT.NS,Eicher Motors,Automobile,2019,9797.0,6893.0,2904.0,30.0,7.0,300.0,3297.0,33.0,2203.0,80.75,15.0,27.0,8891.0,8918.0,187.0,,2281.0,11387.0,1875.0,450.0,4923.0,4140.0,11387.0,1575.0,-660.0,-292.0,623.0,786.0
EICHERMOT.NS,Eicher Motors,Automobile,2020,9154.0,6971.0,2183.0,24.0,19.0,382.0,2355.0,22.0,1827.0,66.91,19.0,27.0,9954.0,9981.0,249.0,,2220.0,12450.0,2378.0,312.0,5749.0,4011.0,12450.0,1694.0,-1508.0,-858.0,-673.0,1150.0
EICHERMOT.NS,Eicher Motors,Automobile,2021,8720.0,6937.0,1783.0,20.0,16.0,451.0,1798.0,25.0,1347.0,49.28,34.0,27.0,11411.0,11438.0,219.0,,2901.0,14559.0,2433.0,314.0,3902.0,7909.0,14559.0,1691.0,-1625.0,-15.0,51.0,1176.0
EICHERMOT.NS,Eicher Motors,Automobile,2022,10298.0,8120.0,2178.0,21.0,19.0,452.0,2203.0,24.0,1677.0,61.32,34.0,27.0,12581.0,12608.0,108.0,,3424.0,16140.0,2424.0,505.0,7721.0,5490.0,16140.0,1527.0,-983.0,-593.0,-50.0,888.0
EICHERMOT.NS,Eicher Motors,Automobile,2023,14442.0,10996.0,3446.0,24.0,28.0,526.0,3800.0,23.0,2914.0,106.55,35.0,27.0,14963.0,14990.0,288.0,,3919.0,19198.0,2690.0,472.0,12321.0,3715.0,19198.0,2823.0,-2397.0,-417.0,8.0,2149.0
EICHERMOT.NS,Eicher Motors,Automobile,2024,16536.0,12206.0,4329.0,26.0,51.0,598.0,5202.0,23.0,4001.0,146.13,35.0,27.0,18018.0,18045.0,419.0,,4650.0,23115.0,2914.0,555.0,13527.0,6119.0,23115.0,3724.0,-2834.0,-844.0,45.0,2909.0
EICHERMOT.NS,Eicher Motors,Automobile,2025,18870.0,14148.0,4723.0,25.0,54.0,729.0,5933.0,20.0,4734.0,172.69,41.0,27.0,21269.0,21296.0,458.0,,5420.0,27174.0,3473.0,491.0,14791.0,8419.0,27174.0,3980.0,-2461.0,-1399.0,121.0,2951.0
EICHERMOT.NS,Eicher Motors,Automobile,2026,23408.0,17622.0,5785.0,25.0,72.0,840.0,7102.0,22.0,5515.0,201.06,41.0,27.0,25073.0,25100.0,514.0,,6549.0,32164.0,4385.0,203.0,17496.0,10080.0,32164.0,4805.0,-2964.0,-1983.0,-142.0,3538.0
GRASIM.NS,Grasim Industries,Cement,2015,31734.0,26590.0,5144.0,16.0,667.0,1563.0,3443.0,30.0,2582.0,36.75,9.0,92.0,23048.0,23140.0,11930.0,,18963.0,54033.0,31828.0,2755.0,7255.0,12194.0,54033.0,4594.0,-2359.0,-2278.0,-42.0,1315.0
GRASIM.NS,Grasim Industries,Cement,2016,34487.0,28576.0,5911.0,17.0,718.0,1834.0,4679.0,26.0,3455.0,51.15,9.0,93.0,27336.0,27429.0,12505.0,,19642.0,59576.0,34271.0,1788.0,10601.0,12916.0,59576.0,5868.0,-4515.0,-1365.0,-11.0,3120.0
